,accuracy,f1-score,precision,recall,specificity
CNN_20_ENMO_3,0.0 +- 0.0,0.0 +- 0.0,0.2 +- 0.4,0.0 +- 0.0,100.0 +- 0.0
CNN_50_ENMO_0,30.9 +- 2.0,44.0 +- 2.3,51.4 +- 2.7,45.9 +- 2.7,88.4 +- 1.4
CNN_50_ENMO_1,55.1 +- 1.3,70.2 +- 1.2,60.7 +- 1.2,86.1 +- 1.6,24.3 +- 1.9
CNN_50_ENMO_2,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
CNN_50_ENMO_3,0.0 +- 0.0,0.1 +- 0.0,2.5 +- 1.5,0.0 +- 0.0,100.0 +- 0.0
CNN_100_ENMO_0,29.5 +- 2.0,42.1 +- 2.4,52.7 +- 2.8,42.0 +- 2.8,89.8 +- 1.3
CNN_100_ENMO_1,55.8 +- 1.3,70.8 +- 1.1,60.7 +- 1.2,87.8 +- 1.5,22.4 +- 1.9
CNN_100_ENMO_2,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
CNN_100_ENMO_3,0.1 +- 0.1,0.2 +- 0.1,4.3 +- 2.1,0.1 +- 0.1,100.0 +- 0.0
LSTM_20_ENMO_0,29.4 +- 1.9,42.4 +- 2.3,55.7 +- 2.9,39.7 +- 2.4,91.8 +- 1.0
LSTM_20_ENMO_1,56.6 +- 1.2,71.6 +- 1.0,60.5 +- 1.2,90.1 +- 1.2,20.3 +- 1.6
LSTM_20_ENMO_2,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
LSTM_20_ENMO_3,0.0 +- 0.0,0.0 +- 0.0,0.3 +- 0.6,0.0 +- 0.0,100.0 +- 0.0
LSTM_50_ENMO_0,29.3 +- 2.0,41.9 +- 2.4,54.3 +- 2.9,40.0 +- 2.6,91.2 +- 1.1
LSTM_50_ENMO_1,56.3 +- 1.2,71.3 +- 1.1,60.5 +- 1.2,89.3 +- 1.3,20.8 +- 1.8
LSTM_50_ENMO_2,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
LSTM_50_ENMO_3,0.0 +- 0.0,0.0 +- 0.1,0.7 +- 0.8,0.0 +- 0.0,100.0 +- 0.0
LSTM_100_ENMO_0,28.2 +- 2.1,40.4 +- 2.5,52.4 +- 3.0,38.9 +- 2.7,91.0 +- 1.2
LSTM_100_ENMO_1,56.2 +- 1.3,71.1 +- 1.1,60.5 +- 1.2,89.1 +- 1.4,20.8 +- 1.9
LSTM_100_ENMO_2,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
LSTM_100_ENMO_3,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
SGD_hinge_0,30.3 +- 1.9,43.3 +- 2.3,56.5 +- 2.9,41.5 +- 2.5,91.3 +- 1.2
SGD_hinge_1,56.3 +- 1.3,71.2 +- 1.1,60.4 +- 1.2,89.3 +- 1.4,21.0 +- 1.7
SGD_hinge_2,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
SGD_hinge_3,0.0 +- 0.0,0.0 +- 0.0,0.3 +- 0.6,0.0 +- 0.0,100.0 +- 0.0
SGD_log_0,31.0 +- 1.9,44.2 +- 2.3,55.0 +- 2.8,43.7 +- 2.5,90.3 +- 1.2
SGD_log_1,56.0 +- 1.3,70.9 +- 1.1,60.6 +- 1.2,88.2 +- 1.4,22.4 +- 1.8
SGD_log_2,0.0 +- 0.0,0.0 +- 0.0,0.9 +- 0.9,0.0 +- 0.0,100.0 +- 0.0
SGD_log_3,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
SGD_perceptron_0,19.6 +- 1.4,30.8 +- 1.9,48.1 +- 2.8,25.9 +- 1.7,93.2 +- 0.7
SGD_perceptron_1,36.5 +- 1.3,52.3 +- 1.4,59.5 +- 1.4,49.4 +- 1.7,54.8 +- 1.8
SGD_perceptron_2,2.9 +- 0.4,5.5 +- 0.7,4.8 +- 0.7,10.0 +- 1.4,80.5 +- 0.8
SGD_perceptron_3,9.2 +- 0.4,16.6 +- 0.8,14.6 +- 0.8,21.6 +- 0.9,77.1 +- 0.6
Random_forest_300_0,31.0 +- 1.8,44.7 +- 2.1,47.5 +- 2.4,48.7 +- 2.4,86.8 +- 1.2
Random_forest_300_1,53.4 +- 1.3,68.8 +- 1.1,60.6 +- 1.2,82.0 +- 1.4,28.0 +- 1.7
Random_forest_300_2,0.6 +- 0.2,1.0 +- 0.3,8.7 +- 2.3,0.6 +- 0.2,99.6 +- 0.1
Random_forest_300_3,2.2 +- 0.3,4.1 +- 0.6,20.3 +- 2.5,2.4 +- 0.4,98.3 +- 0.1
stages_0,100.0 +- 0.0,99.7 +- 0.6,99.7 +- 0.6,99.7 +- 0.6,100.0 +- 0.0
stages_1,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,99.7 +- 0.6
stages_2,100.0 +- 0.0,94.0 +- 2.5,94.0 +- 2.5,94.0 +- 2.5,100.0 +- 0.0
stages_3,100.0 +- 0.0,98.6 +- 1.2,98.6 +- 1.2,98.6 +- 1.2,100.0 +- 0.0
