,accuracy,f1-score,precision,recall,specificity
CNN_20_ENMO_HRV_3,33.1 +- 2.0,46.4 +- 2.4,54.8 +- 2.7,49.1 +- 3.0,91.9 +- 0.9
CNN_50_ENMO_HRV_0,41.7 +- 1.8,56.5 +- 1.9,61.4 +- 2.4,60.4 +- 2.4,89.6 +- 1.2
CNN_50_ENMO_HRV_1,57.4 +- 1.5,71.8 +- 1.4,71.0 +- 1.4,76.1 +- 1.8,58.2 +- 1.9
CNN_50_ENMO_HRV_2,1.6 +- 0.5,2.7 +- 0.8,17.6 +- 3.7,2.0 +- 0.8,99.8 +- 0.1
CNN_50_ENMO_HRV_3,37.1 +- 2.1,50.5 +- 2.5,53.1 +- 2.7,58.9 +- 3.2,89.3 +- 1.2
CNN_100_ENMO_HRV_0,40.3 +- 1.8,55.1 +- 1.9,62.4 +- 2.4,57.6 +- 2.4,89.8 +- 1.4
CNN_100_ENMO_HRV_1,58.9 +- 1.5,73.1 +- 1.3,70.4 +- 1.4,79.1 +- 1.7,55.4 +- 1.9
CNN_100_ENMO_HRV_2,4.7 +- 0.9,7.6 +- 1.4,28.9 +- 4.2,5.7 +- 1.2,99.5 +- 0.1
CNN_100_ENMO_HRV_3,36.7 +- 2.2,49.8 +- 2.6,54.4 +- 2.7,54.1 +- 3.2,91.8 +- 0.8
LSTM_20_ENMO_HRV_0,39.1 +- 1.7,54.1 +- 1.8,56.7 +- 2.3,59.4 +- 2.1,88.5 +- 1.1
LSTM_20_ENMO_HRV_1,59.3 +- 1.3,73.6 +- 1.1,69.8 +- 1.3,80.5 +- 1.4,53.4 +- 1.7
LSTM_20_ENMO_HRV_2,1.4 +- 0.4,2.4 +- 0.7,16.0 +- 3.4,1.5 +- 0.5,99.8 +- 0.1
LSTM_20_ENMO_HRV_3,35.3 +- 2.0,48.9 +- 2.4,59.4 +- 2.7,48.5 +- 2.7,93.6 +- 0.7
LSTM_50_ENMO_HRV_0,40.3 +- 1.9,55.0 +- 2.0,56.6 +- 2.3,61.5 +- 2.3,87.8 +- 1.3
LSTM_50_ENMO_HRV_1,60.0 +- 1.4,74.1 +- 1.1,71.1 +- 1.3,79.8 +- 1.5,56.4 +- 1.8
LSTM_50_ENMO_HRV_2,3.0 +- 0.7,4.9 +- 1.1,22.1 +- 3.9,3.6 +- 1.0,99.7 +- 0.1
LSTM_50_ENMO_HRV_3,39.5 +- 2.3,52.7 +- 2.6,62.1 +- 2.8,52.6 +- 3.0,94.0 +- 0.7
LSTM_100_ENMO_HRV_0,38.1 +- 2.0,52.4 +- 2.1,60.0 +- 2.4,53.3 +- 2.5,91.0 +- 1.1
LSTM_100_ENMO_HRV_1,60.8 +- 1.3,74.9 +- 1.0,68.5 +- 1.3,85.0 +- 1.2,46.8 +- 1.9
LSTM_100_ENMO_HRV_2,6.2 +- 1.1,9.7 +- 1.7,27.9 +- 4.1,8.0 +- 1.6,99.3 +- 0.2
LSTM_100_ENMO_HRV_3,32.5 +- 2.3,44.6 +- 2.7,62.3 +- 3.2,40.3 +- 2.9,96.2 +- 0.6
SGD_hinge_0,34.4 +- 1.8,48.6 +- 2.1,58.8 +- 2.7,49.4 +- 2.5,90.2 +- 1.3
SGD_hinge_1,56.3 +- 1.3,71.2 +- 1.1,61.1 +- 1.2,88.1 +- 1.4,24.2 +- 1.8
SGD_hinge_2,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
SGD_hinge_3,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
SGD_log_0,35.1 +- 1.8,49.5 +- 2.0,58.3 +- 2.6,51.5 +- 2.5,89.4 +- 1.3
SGD_log_1,56.1 +- 1.3,71.0 +- 1.2,61.3 +- 1.2,87.4 +- 1.5,25.6 +- 1.8
SGD_log_2,0.0 +- 0.0,0.1 +- 0.1,1.8 +- 1.3,0.0 +- 0.0,100.0 +- 0.0
SGD_log_3,0.0 +- 0.0,0.0 +- 0.0,0.6 +- 0.8,0.0 +- 0.0,100.0 +- 0.0
SGD_perceptron_0,20.6 +- 1.4,32.1 +- 1.9,59.9 +- 2.9,25.5 +- 1.8,95.9 +- 0.5
SGD_perceptron_1,52.3 +- 1.4,67.5 +- 1.3,61.0 +- 1.2,79.2 +- 1.9,31.6 +- 2.0
SGD_perceptron_2,1.8 +- 0.4,3.4 +- 0.6,3.9 +- 0.9,5.6 +- 1.2,87.1 +- 1.1
SGD_perceptron_3,1.8 +- 0.3,3.4 +- 0.5,7.8 +- 1.1,2.7 +- 0.4,94.6 +- 0.5
Random_forest_300_0,35.8 +- 1.8,50.3 +- 2.0,55.3 +- 2.5,55.4 +- 2.4,87.8 +- 1.3
Random_forest_300_1,55.5 +- 1.3,70.6 +- 1.1,61.9 +- 1.2,84.6 +- 1.5,29.8 +- 1.7
Random_forest_300_2,0.3 +- 0.2,0.5 +- 0.3,7.6 +- 2.5,0.3 +- 0.2,99.9 +- 0.0
Random_forest_300_3,3.3 +- 0.5,5.9 +- 0.9,35.6 +- 3.7,3.6 +- 0.6,99.1 +- 0.2
stages_0,100.0 +- 0.0,99.7 +- 0.6,99.7 +- 0.6,99.7 +- 0.6,100.0 +- 0.0
stages_1,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,99.7 +- 0.6
stages_2,100.0 +- 0.0,94.0 +- 2.5,94.0 +- 2.5,94.0 +- 2.5,100.0 +- 0.0
stages_3,100.0 +- 0.0,98.6 +- 1.2,98.6 +- 1.2,98.6 +- 1.2,100.0 +- 0.0
