,accuracy,f1-score,precision,recall,specificity
always_3_4,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_4_0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_4_1,0.3 +- 0.6,0.3 +- 0.6,0.3 +- 0.6,0.3 +- 0.6,99.7 +- 0.6
always_4_2,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_4_3,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_4_4,14.9 +- 0.6,25.4 +- 0.9,14.8 +- 0.6,98.6 +- 1.2,0.3 +- 0.6
CNN_20_ENMO_0,32.0 +- 1.8,45.7 +- 2.1,50.4 +- 2.6,49.5 +- 2.5,86.9 +- 1.4
CNN_20_ENMO_1,0.3 +- 0.6,0.3 +- 0.6,1.3 +- 1.1,0.3 +- 0.6,99.7 +- 0.6
CNN_20_ENMO_2,46.9 +- 1.2,62.8 +- 1.2,50.5 +- 1.2,86.4 +- 1.6,26.6 +- 1.8
CNN_20_ENMO_3,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
CNN_20_ENMO_4,0.0 +- 0.0,0.1 +- 0.1,1.5 +- 1.2,0.0 +- 0.0,99.9 +- 0.0
CNN_50_ENMO_0,32.8 +- 1.9,46.5 +- 2.2,45.6 +- 2.4,57.2 +- 2.7,81.9 +- 1.7
CNN_50_ENMO_1,0.3 +- 0.6,0.3 +- 0.6,1.6 +- 1.2,0.3 +- 0.6,99.7 +- 0.6
CNN_50_ENMO_2,45.7 +- 1.3,61.5 +- 1.3,51.2 +- 1.3,81.2 +- 1.9,32.4 +- 2.1
CNN_50_ENMO_3,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
CNN_50_ENMO_4,0.1 +- 0.0,0.1 +- 0.1,3.4 +- 1.6,0.1 +- 0.0,99.9 +- 0.0
CNN_100_ENMO_0,32.3 +- 1.9,45.8 +- 2.2,47.1 +- 2.5,53.7 +- 2.8,83.7 +- 1.6
CNN_100_ENMO_1,0.3 +- 0.6,0.3 +- 0.6,1.1 +- 1.0,0.3 +- 0.6,99.7 +- 0.6
CNN_100_ENMO_2,45.9 +- 1.3,61.8 +- 1.3,51.0 +- 1.3,82.7 +- 1.9,30.5 +- 2.1
CNN_100_ENMO_3,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
CNN_100_ENMO_4,0.7 +- 0.2,1.4 +- 0.4,13.5 +- 3.1,0.8 +- 0.2,99.6 +- 0.1
LSTM_20_ENMO_0,32.2 +- 1.9,45.9 +- 2.2,50.1 +- 2.6,49.9 +- 2.5,86.9 +- 1.3
LSTM_20_ENMO_1,0.3 +- 0.6,0.3 +- 0.6,0.3 +- 0.6,0.3 +- 0.6,99.7 +- 0.6
LSTM_20_ENMO_2,46.9 +- 1.2,62.8 +- 1.2,50.5 +- 1.2,86.4 +- 1.5,26.7 +- 1.8
LSTM_20_ENMO_3,0.0 +- 0.0,0.0 +- 0.0,0.4 +- 0.6,0.0 +- 0.0,100.0 +- 0.0
LSTM_20_ENMO_4,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
LSTM_50_ENMO_0,32.3 +- 2.0,45.7 +- 2.3,51.1 +- 2.7,48.9 +- 2.7,87.5 +- 1.4
LSTM_50_ENMO_1,0.3 +- 0.6,0.3 +- 0.6,0.3 +- 0.6,0.3 +- 0.6,99.7 +- 0.6
LSTM_50_ENMO_2,47.1 +- 1.2,63.0 +- 1.2,50.6 +- 1.2,87.0 +- 1.6,25.9 +- 1.9
LSTM_50_ENMO_3,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
LSTM_50_ENMO_4,0.0 +- 0.0,0.0 +- 0.0,2.6 +- 1.6,0.0 +- 0.0,100.0 +- 0.0
LSTM_100_ENMO_0,31.5 +- 1.9,44.9 +- 2.2,47.8 +- 2.6,49.7 +- 2.6,86.0 +- 1.4
LSTM_100_ENMO_1,0.3 +- 0.6,0.3 +- 0.6,0.3 +- 0.6,0.3 +- 0.6,99.7 +- 0.6
LSTM_100_ENMO_2,46.4 +- 1.2,62.3 +- 1.2,50.4 +- 1.2,85.3 +- 1.7,27.1 +- 1.9
LSTM_100_ENMO_3,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
LSTM_100_ENMO_4,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
SGD_hinge_0,33.0 +- 1.8,47.1 +- 2.0,43.6 +- 2.3,61.2 +- 2.5,79.3 +- 1.8
SGD_hinge_1,1.4 +- 0.6,2.4 +- 0.6,13.0 +- 1.9,1.5 +- 0.6,98.7 +- 0.6
SGD_hinge_2,43.8 +- 1.3,59.6 +- 1.4,51.2 +- 1.3,75.4 +- 2.0,38.0 +- 2.0
SGD_hinge_3,0.5 +- 0.2,0.9 +- 0.3,10.0 +- 2.3,0.6 +- 0.3,99.7 +- 0.0
SGD_hinge_4,1.8 +- 0.3,3.3 +- 0.5,18.4 +- 2.5,2.0 +- 0.3,98.5 +- 0.2
SGD_log_0,33.2 +- 1.9,47.0 +- 2.2,50.0 +- 2.6,52.7 +- 2.6,86.0 +- 1.5
SGD_log_1,0.3 +- 0.6,0.3 +- 0.6,0.3 +- 0.6,0.3 +- 0.6,99.7 +- 0.6
SGD_log_2,46.5 +- 1.3,62.4 +- 1.3,50.5 +- 1.3,85.1 +- 1.7,27.8 +- 1.9
SGD_log_3,0.0 +- 0.0,0.1 +- 0.1,0.8 +- 0.7,0.0 +- 0.0,100.0 +- 0.0
SGD_log_4,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
SGD_perceptron_0,13.4 +- 1.3,21.7 +- 1.8,56.1 +- 3.5,15.6 +- 1.5,96.9 +- 0.5
SGD_perceptron_1,5.4 +- 0.7,9.8 +- 0.9,15.0 +- 1.3,8.7 +- 0.9,94.0 +- 0.6
SGD_perceptron_2,29.2 +- 0.9,44.3 +- 1.2,47.1 +- 1.3,44.6 +- 1.5,57.1 +- 1.4
SGD_perceptron_3,11.9 +- 1.1,19.8 +- 1.6,13.7 +- 1.3,58.6 +- 3.2,63.1 +- 1.4
SGD_perceptron_4,1.4 +- 0.3,2.6 +- 0.5,6.0 +- 1.0,2.2 +- 0.5,94.1 +- 0.5
Random_forest_300_0,31.8 +- 1.7,45.8 +- 2.0,42.8 +- 2.3,57.5 +- 2.4,81.2 +- 1.4
Random_forest_300_1,1.5 +- 0.6,2.7 +- 0.6,14.0 +- 1.8,1.7 +- 0.6,98.7 +- 0.6
Random_forest_300_2,44.0 +- 1.2,60.1 +- 1.3,51.0 +- 1.3,76.2 +- 1.6,36.7 +- 1.7
Random_forest_300_3,0.6 +- 0.2,1.2 +- 0.3,10.4 +- 2.5,0.7 +- 0.2,99.5 +- 0.1
Random_forest_300_4,3.0 +- 0.3,5.5 +- 0.6,20.1 +- 2.1,3.4 +- 0.4,97.7 +- 0.2
stages_0,100.0 +- 0.0,99.7 +- 0.6,99.7 +- 0.6,99.7 +- 0.6,100.0 +- 0.0
stages_1,100.0 +- 0.0,98.9 +- 1.1,98.9 +- 1.1,98.9 +- 1.1,99.7 +- 0.6
stages_2,100.0 +- 0.0,99.7 +- 0.6,99.7 +- 0.6,99.7 +- 0.6,100.0 +- 0.0
stages_3,100.0 +- 0.0,94.0 +- 2.5,94.0 +- 2.5,94.0 +- 2.5,100.0 +- 0.0
stages_4,100.0 +- 0.0,98.6 +- 1.2,98.6 +- 1.2,98.6 +- 1.2,100.0 +- 0.0
