,accuracy,f1-score,precision,recall,specificity
always_3_4,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_4_0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_4_1,0.3 +- 0.6,0.3 +- 0.6,0.3 +- 0.6,0.3 +- 0.6,99.7 +- 0.6
always_4_2,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_4_3,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_4_4,14.9 +- 0.6,25.4 +- 0.9,14.8 +- 0.6,98.6 +- 1.2,0.3 +- 0.6
CNN_20_ENMO_HRV_0,40.4 +- 1.7,55.6 +- 1.8,59.1 +- 2.3,60.3 +- 2.2,89.0 +- 1.2
CNN_20_ENMO_HRV_1,4.3 +- 0.7,7.6 +- 1.0,33.7 +- 2.9,4.9 +- 0.8,98.8 +- 0.6
CNN_20_ENMO_HRV_2,51.3 +- 1.5,66.4 +- 1.5,60.1 +- 1.5,78.1 +- 1.9,55.6 +- 1.8
CNN_20_ENMO_HRV_3,0.1 +- 0.1,0.2 +- 0.1,4.8 +- 2.1,0.1 +- 0.1,100.0 +- 0.0
CNN_20_ENMO_HRV_4,34.8 +- 1.9,48.5 +- 2.3,50.8 +- 2.5,56.6 +- 3.0,89.0 +- 1.1
CNN_50_ENMO_HRV_0,42.1 +- 1.8,56.9 +- 1.9,64.1 +- 2.4,58.7 +- 2.3,90.8 +- 1.2
CNN_50_ENMO_HRV_1,4.9 +- 0.8,8.7 +- 1.1,34.2 +- 2.9,5.8 +- 0.9,98.6 +- 0.6
CNN_50_ENMO_HRV_2,52.4 +- 1.5,67.4 +- 1.4,60.5 +- 1.5,80.4 +- 1.9,54.6 +- 1.9
CNN_50_ENMO_HRV_3,1.5 +- 0.5,2.5 +- 0.8,17.2 +- 3.7,1.7 +- 0.6,99.9 +- 0.0
CNN_50_ENMO_HRV_4,37.3 +- 2.2,50.6 +- 2.5,53.7 +- 2.7,58.2 +- 3.2,89.9 +- 1.1
CNN_100_ENMO_HRV_0,41.3 +- 1.8,56.1 +- 1.9,65.5 +- 2.4,56.6 +- 2.4,91.5 +- 1.1
CNN_100_ENMO_HRV_1,5.4 +- 0.8,9.5 +- 1.1,33.3 +- 2.7,6.5 +- 1.0,98.2 +- 0.6
CNN_100_ENMO_HRV_2,52.8 +- 1.4,67.9 +- 1.3,60.1 +- 1.5,81.6 +- 1.7,53.5 +- 1.8
CNN_100_ENMO_HRV_3,5.1 +- 0.9,8.4 +- 1.4,32.0 +- 4.2,6.3 +- 1.2,99.5 +- 0.1
CNN_100_ENMO_HRV_4,37.9 +- 2.2,51.3 +- 2.5,55.0 +- 2.6,56.5 +- 3.1,91.3 +- 0.9
LSTM_20_ENMO_HRV_0,39.4 +- 1.7,54.5 +- 1.8,51.5 +- 2.2,66.5 +- 2.0,84.5 +- 1.3
LSTM_20_ENMO_HRV_1,1.8 +- 0.7,3.0 +- 0.8,16.2 +- 2.8,2.0 +- 0.7,99.1 +- 0.6
LSTM_20_ENMO_HRV_2,51.8 +- 1.3,67.1 +- 1.3,61.2 +- 1.4,77.5 +- 1.7,58.1 +- 1.5
LSTM_20_ENMO_HRV_3,1.3 +- 0.4,2.3 +- 0.7,14.5 +- 3.3,1.6 +- 0.7,99.8 +- 0.1
LSTM_20_ENMO_HRV_4,37.0 +- 2.0,50.9 +- 2.3,56.2 +- 2.6,54.0 +- 2.8,92.1 +- 0.8
LSTM_50_ENMO_HRV_0,39.8 +- 1.8,54.6 +- 1.9,50.6 +- 2.3,67.9 +- 2.1,83.4 +- 1.4
LSTM_50_ENMO_HRV_1,1.6 +- 0.6,2.6 +- 0.8,16.6 +- 3.1,1.8 +- 0.7,99.1 +- 0.6
LSTM_50_ENMO_HRV_2,52.0 +- 1.3,67.3 +- 1.3,61.0 +- 1.4,78.6 +- 1.7,56.3 +- 1.7
LSTM_50_ENMO_HRV_3,3.9 +- 0.8,6.3 +- 1.3,25.6 +- 4.1,4.6 +- 1.1,99.6 +- 0.1
LSTM_50_ENMO_HRV_4,35.7 +- 2.3,48.5 +- 2.6,61.6 +- 3.0,46.8 +- 3.0,94.8 +- 0.6
LSTM_100_ENMO_HRV_0,39.2 +- 1.8,53.9 +- 2.0,56.1 +- 2.3,59.0 +- 2.3,88.2 +- 1.2
LSTM_100_ENMO_HRV_1,1.5 +- 0.6,2.6 +- 0.7,14.7 +- 2.7,1.7 +- 0.7,99.1 +- 0.6
LSTM_100_ENMO_HRV_2,52.3 +- 1.3,67.6 +- 1.3,58.8 +- 1.4,82.8 +- 1.5,49.9 +- 1.7
LSTM_100_ENMO_HRV_3,6.7 +- 1.1,10.6 +- 1.6,30.3 +- 4.0,8.7 +- 1.6,99.2 +- 0.2
LSTM_100_ENMO_HRV_4,33.7 +- 2.3,46.3 +- 2.7,58.7 +- 2.9,44.6 +- 3.0,94.9 +- 0.6
SGD_hinge_0,35.6 +- 1.8,50.1 +- 2.0,45.8 +- 2.3,67.3 +- 2.4,78.8 +- 1.9
SGD_hinge_1,1.8 +- 0.6,3.2 +- 0.7,17.5 +- 2.3,2.0 +- 0.6,98.8 +- 0.6
SGD_hinge_2,45.3 +- 1.4,60.9 +- 1.5,52.6 +- 1.3,77.0 +- 2.1,40.0 +- 2.0
SGD_hinge_3,0.2 +- 0.1,0.4 +- 0.2,2.5 +- 1.2,0.2 +- 0.1,99.9 +- 0.0
SGD_hinge_4,1.3 +- 0.2,2.5 +- 0.4,18.2 +- 2.7,1.5 +- 0.3,99.2 +- 0.1
SGD_log_0,36.6 +- 1.8,51.2 +- 1.9,49.4 +- 2.4,64.9 +- 2.4,81.8 +- 1.7
SGD_log_1,1.1 +- 0.6,1.8 +- 0.7,14.0 +- 2.8,1.2 +- 0.6,99.4 +- 0.6
SGD_log_2,46.5 +- 1.3,62.2 +- 1.4,52.2 +- 1.3,81.5 +- 1.9,35.4 +- 2.0
SGD_log_3,0.1 +- 0.1,0.1 +- 0.1,1.5 +- 1.1,0.1 +- 0.1,100.0 +- 0.0
SGD_log_4,0.1 +- 0.0,0.3 +- 0.1,8.1 +- 2.6,0.1 +- 0.0,99.9 +- 0.0
SGD_perceptron_0,12.4 +- 1.0,20.7 +- 1.5,61.2 +- 3.1,14.1 +- 1.2,97.8 +- 0.4
SGD_perceptron_1,5.7 +- 0.7,10.2 +- 0.9,14.5 +- 1.2,9.9 +- 1.0,93.1 +- 0.7
SGD_perceptron_2,41.1 +- 1.3,57.0 +- 1.4,52.0 +- 1.3,67.5 +- 2.0,46.3 +- 1.9
SGD_perceptron_3,5.0 +- 0.6,8.9 +- 1.1,9.0 +- 1.1,14.6 +- 2.0,87.1 +- 1.1
SGD_perceptron_4,5.1 +- 0.5,9.3 +- 0.9,10.5 +- 1.0,11.0 +- 1.3,84.3 +- 0.9
Random_forest_300_0,36.4 +- 1.7,51.1 +- 1.9,48.3 +- 2.3,65.5 +- 2.3,81.8 +- 1.6
Random_forest_300_1,0.7 +- 0.6,1.1 +- 0.6,15.3 +- 3.2,0.7 +- 0.6,99.6 +- 0.6
Random_forest_300_2,46.6 +- 1.3,62.4 +- 1.3,52.9 +- 1.3,79.7 +- 1.8,38.7 +- 1.8
Random_forest_300_3,0.4 +- 0.2,0.6 +- 0.3,9.0 +- 2.7,0.4 +- 0.2,99.9 +- 0.0
Random_forest_300_4,5.5 +- 0.7,9.7 +- 1.1,37.7 +- 3.0,6.6 +- 0.9,98.1 +- 0.3
stages_0,100.0 +- 0.0,99.7 +- 0.6,99.7 +- 0.6,99.7 +- 0.6,100.0 +- 0.0
stages_1,100.0 +- 0.0,98.9 +- 1.1,98.9 +- 1.1,98.9 +- 1.1,99.7 +- 0.6
stages_2,100.0 +- 0.0,99.7 +- 0.6,99.7 +- 0.6,99.7 +- 0.6,100.0 +- 0.0
stages_3,100.0 +- 0.0,94.0 +- 2.5,94.0 +- 2.5,94.0 +- 2.5,100.0 +- 0.0
stages_4,100.0 +- 0.0,98.6 +- 1.2,98.6 +- 1.2,98.6 +- 1.2,100.0 +- 0.0
