,accuracy,f1-score,precision,recall,specificity
CNN_100_ENMO_HRV_1,5.0 +- 0.6,9.1 +- 1.0,31.6 +- 2.6,6.2 +- 0.8,98.7 +- 0.2
CNN_100_ENMO_HRV_2,50.6 +- 1.4,66.1 +- 1.3,57.5 +- 1.4,81.8 +- 1.6,62.5 +- 1.5
CNN_100_ENMO_HRV_3,5.1 +- 0.9,8.3 +- 1.4,31.5 +- 4.2,6.3 +- 1.3,99.6 +- 0.1
CNN_100_ENMO_HRV_4,36.7 +- 2.1,50.3 +- 2.4,52.6 +- 2.6,56.7 +- 3.1,92.3 +- 0.8
LSTM_20_ENMO_HRV_0,59.3 +- 1.5,73.4 +- 1.3,72.7 +- 1.7,77.8 +- 1.5,84.4 +- 1.3
LSTM_20_ENMO_HRV_1,1.5 +- 0.4,2.7 +- 0.6,15.3 +- 2.7,1.7 +- 0.5,99.5 +- 0.2
LSTM_20_ENMO_HRV_2,50.0 +- 1.3,65.7 +- 1.3,59.0 +- 1.4,77.6 +- 1.6,66.9 +- 1.3
LSTM_20_ENMO_HRV_3,1.3 +- 0.4,2.3 +- 0.7,14.4 +- 3.3,1.6 +- 0.7,99.9 +- 0.0
LSTM_20_ENMO_HRV_4,35.7 +- 1.9,49.7 +- 2.3,53.8 +- 2.6,54.1 +- 2.8,92.9 +- 0.7
LSTM_50_ENMO_HRV_0,61.2 +- 1.6,74.8 +- 1.3,72.3 +- 1.7,81.1 +- 1.4,83.2 +- 1.4
LSTM_50_ENMO_HRV_1,1.3 +- 0.3,2.3 +- 0.6,15.8 +- 3.0,1.5 +- 0.4,99.5 +- 0.2
LSTM_50_ENMO_HRV_2,50.5 +- 1.3,66.2 +- 1.2,59.2 +- 1.4,78.8 +- 1.6,66.3 +- 1.4
LSTM_50_ENMO_HRV_3,3.9 +- 0.8,6.3 +- 1.3,25.5 +- 4.1,4.6 +- 1.1,99.7 +- 0.1
LSTM_50_ENMO_HRV_4,35.0 +- 2.2,48.0 +- 2.6,60.3 +- 3.0,46.9 +- 3.0,95.5 +- 0.5
LSTM_100_ENMO_HRV_0,62.2 +- 1.6,75.5 +- 1.4,77.7 +- 1.7,76.6 +- 1.6,88.1 +- 1.2
LSTM_100_ENMO_HRV_1,1.2 +- 0.3,2.3 +- 0.5,14.4 +- 2.7,1.4 +- 0.3,99.5 +- 0.1
LSTM_100_ENMO_HRV_2,50.8 +- 1.3,66.4 +- 1.2,57.1 +- 1.4,83.0 +- 1.5,61.5 +- 1.4
LSTM_100_ENMO_HRV_3,6.6 +- 1.1,10.6 +- 1.6,30.3 +- 4.0,8.7 +- 1.6,99.4 +- 0.1
LSTM_100_ENMO_HRV_4,33.0 +- 2.2,45.7 +- 2.6,57.2 +- 2.9,44.7 +- 3.0,95.6 +- 0.5
SGD_hinge_0,55.5 +- 1.7,70.0 +- 1.5,67.5 +- 1.9,78.2 +- 1.8,78.7 +- 1.9
SGD_hinge_1,1.5 +- 0.2,2.9 +- 0.4,17.0 +- 2.3,1.7 +- 0.3,99.3 +- 0.1
SGD_hinge_2,43.5 +- 1.3,59.4 +- 1.4,50.4 +- 1.3,77.2 +- 2.1,53.1 +- 1.8
SGD_hinge_3,0.2 +- 0.1,0.4 +- 0.2,2.5 +- 1.2,0.2 +- 0.1,99.9 +- 0.0
SGD_hinge_4,1.3 +- 0.2,2.5 +- 0.4,18.1 +- 2.7,1.5 +- 0.3,99.3 +- 0.1
SGD_log_0,56.3 +- 1.7,70.5 +- 1.5,70.4 +- 2.0,76.1 +- 1.9,81.6 +- 1.7
SGD_log_1,0.8 +- 0.2,1.5 +- 0.4,13.3 +- 2.8,0.9 +- 0.2,99.7 +- 0.1
SGD_log_2,44.5 +- 1.3,60.6 +- 1.3,49.9 +- 1.2,81.7 +- 1.9,49.3 +- 1.7
SGD_log_3,0.1 +- 0.1,0.1 +- 0.1,1.5 +- 1.2,0.1 +- 0.1,100.0 +- 0.0
SGD_log_4,0.1 +- 0.0,0.3 +- 0.1,8.2 +- 2.6,0.1 +- 0.0,99.9 +- 0.0
SGD_perceptron_0,24.0 +- 1.3,37.3 +- 1.6,85.4 +- 1.8,25.4 +- 1.4,97.8 +- 0.4
SGD_perceptron_1,4.6 +- 0.4,8.7 +- 0.7,10.3 +- 0.9,9.8 +- 0.9,92.4 +- 0.4
SGD_perceptron_2,39.2 +- 1.2,55.4 +- 1.3,49.4 +- 1.2,67.7 +- 2.0,57.3 +- 1.6
SGD_perceptron_3,4.5 +- 0.6,8.2 +- 1.0,7.5 +- 0.9,14.7 +- 2.0,87.0 +- 1.0
SGD_perceptron_4,4.2 +- 0.4,7.8 +- 0.7,7.4 +- 0.7,11.0 +- 1.3,82.1 +- 0.8
Random_forest_300_0,56.0 +- 1.6,70.4 +- 1.5,69.6 +- 1.9,76.3 +- 1.8,81.7 +- 1.6
Random_forest_300_1,0.4 +- 0.1,0.8 +- 0.2,14.8 +- 3.1,0.4 +- 0.1,99.9 +- 0.0
Random_forest_300_2,44.6 +- 1.3,60.7 +- 1.3,50.5 +- 1.2,79.9 +- 1.7,51.8 +- 1.6
Random_forest_300_3,0.4 +- 0.2,0.6 +- 0.3,9.0 +- 2.7,0.4 +- 0.2,99.9 +- 0.0
Random_forest_300_4,5.4 +- 0.7,9.6 +- 1.1,36.3 +- 3.0,6.6 +- 0.9,98.4 +- 0.2
stages_0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0
stages_1,100.0 +- 0.0,98.9 +- 1.1,98.9 +- 1.1,98.9 +- 1.1,100.0 +- 0.0
stages_2,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0
stages_3,100.0 +- 0.0,94.3 +- 2.4,94.3 +- 2.4,94.3 +- 2.4,100.0 +- 0.0
stages_4,100.0 +- 0.0,98.9 +- 1.1,98.9 +- 1.1,98.9 +- 1.1,100.0 +- 0.0
