,accuracy,f1-score,precision,recall,specificity
CNN_100_HRV_2,45.2 +- 1.4,61.0 +- 1.4,54.5 +- 1.5,74.6 +- 1.9,61.9 +- 1.5
CNN_100_HRV_3,7.5 +- 1.2,11.9 +- 1.8,30.4 +- 4.0,10.6 +- 1.9,99.0 +- 0.2
CNN_100_HRV_4,22.5 +- 1.8,33.8 +- 2.3,41.2 +- 2.7,35.6 +- 2.8,93.5 +- 0.6
LSTM_20_HRV_0,37.8 +- 1.4,53.4 +- 1.5,71.1 +- 2.0,49.1 +- 2.1,87.0 +- 1.7
LSTM_20_HRV_1,0.3 +- 0.2,0.6 +- 0.3,4.7 +- 1.7,0.4 +- 0.2,99.8 +- 0.1
LSTM_20_HRV_2,42.3 +- 1.2,58.5 +- 1.3,45.5 +- 1.3,87.9 +- 1.7,35.2 +- 1.8
LSTM_20_HRV_3,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
LSTM_20_HRV_4,4.6 +- 0.8,7.9 +- 1.3,28.8 +- 3.6,5.6 +- 1.1,98.9 +- 0.2
LSTM_50_HRV_0,43.5 +- 1.5,59.2 +- 1.5,58.5 +- 2.1,70.1 +- 2.1,69.8 +- 2.5
LSTM_50_HRV_1,0.0 +- 0.0,0.1 +- 0.1,0.5 +- 0.6,0.0 +- 0.1,100.0 +- 0.0
LSTM_50_HRV_2,39.2 +- 1.5,54.7 +- 1.7,47.9 +- 1.6,72.2 +- 2.6,52.7 +- 2.1
LSTM_50_HRV_3,0.0 +- 0.0,0.0 +- 0.0,0.6 +- 0.8,0.0 +- 0.0,100.0 +- 0.0
LSTM_50_HRV_4,0.4 +- 0.2,0.7 +- 0.3,8.4 +- 2.7,0.4 +- 0.2,99.9 +- 0.0
LSTM_100_HRV_0,41.2 +- 1.6,56.6 +- 1.7,67.9 +- 2.1,54.9 +- 2.1,84.8 +- 1.6
LSTM_100_HRV_1,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
LSTM_100_HRV_2,41.9 +- 1.2,58.1 +- 1.3,45.5 +- 1.3,85.7 +- 1.6,36.9 +- 1.7
LSTM_100_HRV_3,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
LSTM_100_HRV_4,0.7 +- 0.2,1.3 +- 0.3,12.1 +- 2.9,0.7 +- 0.2,99.8 +- 0.0
SGD_hinge_0,36.6 +- 1.5,52.0 +- 1.6,46.6 +- 2.0,75.0 +- 2.5,47.3 +- 3.4
SGD_hinge_1,1.1 +- 0.2,2.1 +- 0.4,11.4 +- 2.1,1.3 +- 0.3,99.5 +- 0.1
SGD_hinge_2,27.8 +- 1.8,40.4 +- 2.4,47.5 +- 2.1,46.7 +- 3.4,69.0 +- 2.5
SGD_hinge_3,0.7 +- 0.2,1.3 +- 0.4,2.3 +- 0.8,1.6 +- 0.6,98.5 +- 0.4
SGD_hinge_4,1.4 +- 0.3,2.5 +- 0.6,12.7 +- 2.5,1.7 +- 0.4,99.1 +- 0.2
SGD_log_0,35.0 +- 1.5,50.2 +- 1.7,57.9 +- 2.3,58.1 +- 2.7,69.6 +- 3.0
SGD_log_1,0.4 +- 0.1,0.7 +- 0.3,6.2 +- 2.0,0.4 +- 0.2,99.9 +- 0.1
SGD_log_2,37.1 +- 1.5,52.4 +- 1.7,46.1 +- 1.5,72.6 +- 3.0,46.8 +- 2.7
SGD_log_3,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
SGD_log_4,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
SGD_perceptron_0,4.4 +- 0.4,8.2 +- 0.7,69.4 +- 3.0,4.6 +- 0.4,98.8 +- 0.2
SGD_perceptron_1,3.8 +- 0.5,7.0 +- 0.8,5.4 +- 0.7,18.2 +- 2.5,79.7 +- 2.2
SGD_perceptron_2,15.7 +- 1.7,24.0 +- 2.4,38.8 +- 2.4,25.8 +- 3.2,80.8 +- 2.5
SGD_perceptron_3,7.9 +- 0.9,13.7 +- 1.4,9.5 +- 1.1,52.0 +- 3.9,59.9 +- 2.6
SGD_perceptron_4,7.4 +- 0.6,13.2 +- 1.0,14.7 +- 1.3,17.2 +- 1.6,85.8 +- 1.2
Random_forest_300_0,35.8 +- 1.3,51.6 +- 1.4,52.2 +- 1.9,62.0 +- 2.3,65.9 +- 2.6
Random_forest_300_1,1.4 +- 0.2,2.6 +- 0.4,17.9 +- 2.7,1.6 +- 0.3,99.5 +- 0.1
Random_forest_300_2,36.4 +- 1.4,52.0 +- 1.6,46.8 +- 1.3,67.5 +- 2.6,52.3 +- 2.2
Random_forest_300_3,0.1 +- 0.1,0.2 +- 0.1,4.9 +- 1.9,0.1 +- 0.1,99.9 +- 0.0
Random_forest_300_4,2.0 +- 0.3,3.7 +- 0.6,26.1 +- 2.9,2.4 +- 0.4,99.1 +- 0.2
stages_0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0
stages_1,100.0 +- 0.0,98.9 +- 1.1,98.9 +- 1.1,98.9 +- 1.1,100.0 +- 0.0
stages_2,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0
stages_3,100.0 +- 0.0,94.3 +- 2.4,94.3 +- 2.4,94.3 +- 2.4,100.0 +- 0.0
stages_4,100.0 +- 0.0,98.9 +- 1.1,98.9 +- 1.1,98.9 +- 1.1,100.0 +- 0.0
