,accuracy,f1-score,precision,recall,specificity
LSTM_20_ENMO_HRV_0,38.2 +- 1.7,53.0 +- 1.9,55.9 +- 2.3,58.0 +- 2.2,88.5 +- 1.1
LSTM_20_ENMO_HRV_1,69.5 +- 1.2,81.4 +- 0.9,81.2 +- 1.0,83.4 +- 1.3,61.8 +- 1.9
LSTM_20_ENMO_HRV_2,34.0 +- 2.1,47.1 +- 2.5,59.2 +- 2.8,45.7 +- 2.8,94.6 +- 0.6
LSTM_50_ENMO_HRV_0,37.5 +- 1.9,51.9 +- 2.0,56.8 +- 2.5,54.9 +- 2.3,89.2 +- 1.2
LSTM_50_ENMO_HRV_1,70.1 +- 1.3,81.8 +- 1.0,81.3 +- 1.0,83.9 +- 1.4,61.7 +- 1.9
LSTM_50_ENMO_HRV_2,37.2 +- 2.2,50.3 +- 2.6,60.9 +- 2.9,49.0 +- 2.9,94.6 +- 0.6
LSTM_100_ENMO_HRV_0,36.6 +- 1.9,50.9 +- 2.0,53.8 +- 2.4,55.5 +- 2.4,87.6 +- 1.3
LSTM_100_ENMO_HRV_1,69.3 +- 1.3,81.1 +- 1.0,80.3 +- 1.0,83.9 +- 1.4,58.5 +- 2.0
LSTM_100_ENMO_HRV_2,33.2 +- 2.3,45.7 +- 2.7,62.0 +- 3.2,41.2 +- 2.8,96.2 +- 0.4
SGD_hinge_0,33.1 +- 1.9,46.8 +- 2.2,59.6 +- 2.8,45.8 +- 2.5,91.1 +- 1.2
SGD_hinge_1,65.7 +- 1.2,78.7 +- 0.9,70.9 +- 0.9,90.1 +- 1.3,26.6 +- 1.9
SGD_hinge_2,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
SGD_log_0,35.7 +- 1.8,50.0 +- 2.0,58.0 +- 2.7,53.1 +- 2.5,88.7 +- 1.4
SGD_log_1,65.1 +- 1.2,78.2 +- 1.0,71.9 +- 1.0,87.9 +- 1.5,31.4 +- 2.0
SGD_log_2,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
SGD_perceptron_0,30.5 +- 1.6,44.5 +- 2.0,55.6 +- 2.6,43.9 +- 2.3,90.5 +- 1.1
SGD_perceptron_1,63.6 +- 1.1,77.1 +- 0.9,71.3 +- 0.9,85.8 +- 1.3,31.0 +- 1.9
SGD_perceptron_2,1.5 +- 0.2,2.9 +- 0.4,7.1 +- 0.9,2.1 +- 0.4,95.3 +- 0.4
Random_forest_300_0,35.8 +- 1.8,50.3 +- 2.0,56.3 +- 2.6,54.2 +- 2.4,88.6 +- 1.2
Random_forest_300_1,65.1 +- 1.1,78.3 +- 0.9,72.2 +- 0.9,87.2 +- 1.3,33.4 +- 1.9
Random_forest_300_2,2.4 +- 0.4,4.3 +- 0.7,32.8 +- 3.9,2.5 +- 0.5,99.5 +- 0.1
stages_0,100.0 +- 0.0,99.7 +- 0.6,99.7 +- 0.6,99.7 +- 0.6,100.0 +- 0.0
stages_1,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,99.7 +- 0.6
stages_2,100.0 +- 0.0,98.6 +- 1.2,98.6 +- 1.2,98.6 +- 1.2,100.0 +- 0.0
