,accuracy,f1-score,precision,recall,specificity
LSTM_100_ENMO_0,56.1 +- 1.9,70.1 +- 1.7,80.7 +- 1.9,65.6 +- 2.0,90.8 +- 1.2
LSTM_100_ENMO_1,54.0 +- 1.3,69.3 +- 1.2,58.1 +- 1.2,88.9 +- 1.4,42.5 +- 1.7
LSTM_100_ENMO_2,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
LSTM_100_ENMO_3,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
SGD_hinge_0,53.0 +- 1.9,67.4 +- 1.8,80.2 +- 2.0,61.8 +- 2.1,91.2 +- 1.2
SGD_hinge_1,53.1 +- 1.3,68.5 +- 1.1,56.9 +- 1.2,89.2 +- 1.4,39.8 +- 1.7
SGD_hinge_2,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
SGD_hinge_3,0.0 +- 0.0,0.0 +- 0.0,0.3 +- 0.6,0.0 +- 0.0,100.0 +- 0.0
SGD_log_0,53.9 +- 1.9,68.2 +- 1.7,78.9 +- 1.9,63.8 +- 2.1,90.2 +- 1.2
SGD_log_1,53.0 +- 1.3,68.4 +- 1.2,57.3 +- 1.2,88.1 +- 1.4,41.3 +- 1.7
SGD_log_2,0.0 +- 0.0,0.0 +- 0.0,0.9 +- 0.9,0.0 +- 0.0,100.0 +- 0.0
SGD_log_3,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
SGD_perceptron_0,37.8 +- 1.5,53.1 +- 1.7,76.2 +- 2.0,43.3 +- 1.8,93.1 +- 0.7
SGD_perceptron_1,35.1 +- 1.2,50.9 +- 1.4,56.6 +- 1.3,49.2 +- 1.7,66.6 +- 1.4
SGD_perceptron_2,2.7 +- 0.4,5.1 +- 0.7,4.3 +- 0.6,10.1 +- 1.4,81.9 +- 0.6
SGD_perceptron_3,8.2 +- 0.4,14.9 +- 0.7,12.3 +- 0.7,21.7 +- 0.9,77.3 +- 0.5
Random_forest_300_0,53.1 +- 1.7,67.8 +- 1.6,72.7 +- 1.9,66.9 +- 2.0,86.7 +- 1.2
Random_forest_300_1,50.7 +- 1.2,66.5 +- 1.1,57.4 +- 1.2,81.8 +- 1.4,45.7 +- 1.6
Random_forest_300_2,0.6 +- 0.2,1.0 +- 0.3,8.5 +- 2.2,0.6 +- 0.2,99.6 +- 0.0
Random_forest_300_3,2.2 +- 0.3,4.1 +- 0.6,19.3 +- 2.4,2.4 +- 0.4,98.6 +- 0.1
stages_0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0
stages_1,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0
stages_2,100.0 +- 0.0,94.3 +- 2.4,94.3 +- 2.4,94.3 +- 2.4,100.0 +- 0.0
stages_3,100.0 +- 0.0,98.9 +- 1.1,98.9 +- 1.1,98.9 +- 1.1,100.0 +- 0.0
